layer,scale,avg_score
0,0.1,0.9742838541666666
0,0.2,1.0022786458333333
0,0.30000000000000004,1.025390625
0,0.4,1.0419921875
0,0.5,1.0491536458333333
0,0.6,1.0556640625
0,0.7000000000000001,1.0712890625
0,0.8,1.0904947916666667
0,0.9,1.1022135416666667
0,1.0,1.0983072916666667
1,0.1,0.994140625
1,0.2,1.0302734375
1,0.30000000000000004,1.0693359375
1,0.4,1.103515625
1,0.5,1.1337890625
1,0.6,1.1640625
1,0.7000000000000001,1.2135416666666667
1,0.8,1.3079427083333333
1,0.9,1.4404296875
1,1.0,1.5859375
2,0.1,1.0084635416666667
2,0.2,1.0716145833333333
2,0.30000000000000004,1.1276041666666667
2,0.4,1.1774088541666667
2,0.5,1.2145182291666667
2,0.6,1.240234375
2,0.7000000000000001,1.25390625
2,0.8,1.25390625
2,0.9,1.2457682291666667
2,1.0,1.2330729166666667
3,0.1,0.9563802083333334
3,0.2,0.9586588541666666
3,0.30000000000000004,0.9459635416666666
3,0.4,0.9251302083333334
3,0.5,0.8984375
3,0.6,0.87890625
3,0.7000000000000001,0.8818359375
3,0.8,0.931640625
3,0.9,1.0465494791666667
3,1.0,1.1930338541666667
4,0.1,0.9964192708333334
4,0.2,1.044921875
4,0.30000000000000004,1.0934244791666667
4,0.4,1.1363932291666667
4,0.5,1.1712239583333333
4,0.6,1.2044270833333333
4,0.7000000000000001,1.2213541666666667
4,0.8,1.2229817708333333
4,0.9,1.2109375
4,1.0,1.1930338541666667
5,0.1,0.9703776041666666
5,0.2,0.9765625
5,0.30000000000000004,0.9700520833333334
5,0.4,0.9420572916666666
5,0.5,0.8961588541666666
5,0.6,0.8362630208333334
5,0.7000000000000001,0.7711588541666666
5,0.8,0.6920572916666666
5,0.9,0.5950520833333334
5,1.0,0.484375
6,0.1,0.9410807291666666
6,0.2,0.9313151041666666
6,0.30000000000000004,0.9176432291666666
6,0.4,0.9020182291666666
6,0.5,0.8795572916666666
6,0.6,0.8395182291666666
6,0.7000000000000001,0.78125
6,0.8,0.7076822916666666
6,0.9,0.6442057291666666
